HomePlanet,CryoSleep,Destination,Age,VIP,RoomService,FoodCourt,ShoppingMall,Spa,VRDeck,Transported,Group,Cabin_deck,Cabin_number,Cabin_side,HomePlanet_Earth,HomePlanet_Europa,HomePlanet_Mars,CryoSleep_False,CryoSleep_True,Destination_55 Cancri e,Destination_PSO J318.5-22,Destination_TRAPPIST-1e,VIP_False,VIP_True,Cabin_deck_A,Cabin_deck_B,Cabin_deck_C,Cabin_deck_D,Cabin_deck_E,Cabin_deck_F,Cabin_deck_G,Cabin_deck_T,Cabin_side_P,Cabin_side_S
Earth,True,55 Cancri e,49.0,False,0.0,0.0,0.0,0.0,0.0,0,20,E,0,S,1,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1
Earth,True,55 Cancri e,29.0,False,0.0,0.0,0.0,0.0,0.0,0,20,E,0,S,1,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1
Earth,False,TRAPPIST-1e,10.0,False,0.0,0.0,0.0,0.0,0.0,1,20,E,0,S,1,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1
Earth,True,PSO J318.5-22,1.0,False,0.0,0.0,0.0,0.0,0.0,0,20,E,0,S,1,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1
Earth,False,TRAPPIST-1e,7.0,False,0.0,0.0,0.0,0.0,0.0,0,20,E,0,S,1,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1
Mars,False,TRAPPIST-1e,21.0,False,6.8885724595653635,1.0986122886681098,4.248495242049359,0.0,0.0,0,22,D,0,P,0,0,1,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0
Europa,True,TRAPPIST-1e,62.0,False,0.0,0.0,0.0,0.0,0.0,1,24,C,2,S,0,1,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1
Earth,False,TRAPPIST-1e,15.0,False,0.0,5.420534999272286,0.0,6.906754778648554,0.0,0,25,F,6,S,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1
Europa,False,55 Cancri e,34.0,False,3.1354942159291497,8.711772645605693,0.0,7.271703706887368,5.796057750765372,0,26,C,0,P,0,1,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0
Mars,False,TRAPPIST-1e,43.0,False,7.026426808699636,0.0,4.919980925828125,3.8918202981106265,0.0,0,28,F,8,P,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0
Earth,False,TRAPPIST-1e,32.0,False,0.0,6.7464121285733745,4.406719247264253,6.082218910376446,6.118097198041348,0,30,G,4,S,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1
Mars,False,TRAPPIST-1e,47.0,False,5.3706380281276624,0.0,7.252762418053187,0.0,7.114769448366463,1,31,F,9,P,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0
Mars,False,TRAPPIST-1e,2.0,False,0.0,0.0,0.0,0.0,0.0,1,31,F,9,P,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0
Mars,False,TRAPPIST-1e,20.0,False,6.764091911233509,0.0,7.467942332285852,6.898714534329988,0.0,1,31,F,9,P,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0
Europa,True,55 Cancri e,28.0,False,0.0,0.0,0.0,0.0,0.0,1,34,D,1,S,0,1,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1
Mars,False,55 Cancri e,23.0,False,6.665683717782408,6.872128101338986,0.0,6.858565034791365,0.0,0,35,D,1,P,0,0,1,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0
Earth,False,55 Cancri e,15.0,False,0.0,6.20050917404269,3.8918202981106265,3.044522437723423,5.996452088619021,0,36,F,8,S,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1
Earth,False,55 Cancri e,20.0,False,6.318968113746434,5.278114659230517,0.0,7.865955413933502,0.0,0,38,F,10,S,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1
Earth,True,55 Cancri e,30.0,False,0.0,0.0,0.0,0.0,0.0,0,39,G,1,P,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0
Earth,True,TRAPPIST-1e,17.0,False,0.0,0.0,0.0,0.0,0.0,1,41,G,2,P,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0
Europa,False,TRAPPIST-1e,45.0,False,0.0,5.10594547390058,3.828641396489095,7.828834527588089,6.752270376141742,0,43,B,3,P,0,1,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0
Earth,True,TRAPPIST-1e,55.0,False,0.0,0.0,0.0,0.0,0.0,0,44,G,3,P,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0
Earth,True,55 Cancri e,4.0,False,0.0,0.0,0.0,0.0,0.0,1,44,G,3,P,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0
Earth,True,PSO J318.5-22,21.0,False,0.0,0.0,0.0,0.0,0.0,1,44,G,3,P,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0
Mars,False,TRAPPIST-1e,21.0,False,6.878326468291325,0.0,5.198497031265826,0.0,4.174387269895637,0,45,F,10,P,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0
Mars,True,TRAPPIST-1e,19.0,False,0.0,0.0,0.0,0.0,0.0,1,45,F,10,P,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0
Earth,False,55 Cancri e,35.0,False,6.673297967767654,0.0,0.0,4.641255398252252,0.0,0,50,E,1,S,1,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1
Earth,False,TRAPPIST-1e,56.0,False,0.0,4.727387818712341,0.0,7.22983877815125,4.852030263919617,0,51,E,2,S,1,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1
Earth,False,TRAPPIST-1e,24.0,False,1.6094379124341003,0.0,1.0986122886681098,8.451907724717607,0.0,0,52,G,6,S,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1
Earth,False,TRAPPIST-1e,25.0,False,0.0,0.0,7.569927655242652,0.0,0.6931471805599453,1,53,F,11,S,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1
Europa,False,TRAPPIST-1e,2.0,False,0.0,0.0,0.0,0.0,0.0,1,56,A,1,S,0,1,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1
Europa,True,TRAPPIST-1e,38.0,False,0.0,0.0,0.0,0.0,0.0,1,56,A,1,S,0,1,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1
Europa,False,TRAPPIST-1e,27.0,False,5.634789603169249,6.406879986069314,8.12415060330663,5.659482215759621,1.3862943611198906,1,56,A,1,S,0,1,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1
Earth,True,PSO J318.5-22,36.0,False,0.0,0.0,0.0,0.0,0.0,0,58,G,7,S,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1
Earth,False,TRAPPIST-1e,22.0,False,3.828641396489095,7.00033446027523,5.003946305945459,7.228388451573604,0.6931471805599453,0,61,F,12,S,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1
Earth,False,TRAPPIST-1e,62.0,False,0.0,6.385194398997726,0.0,2.8903717578961645,3.258096538021482,0,62,F,13,S,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1
Mars,True,TRAPPIST-1e,15.0,False,0.0,0.0,0.0,0.0,0.0,1,64,F,14,S,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1
Mars,True,TRAPPIST-1e,33.0,False,0.0,0.0,0.0,0.0,0.0,1,64,E,3,S,0,0,1,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1
Earth,False,TRAPPIST-1e,62.0,False,0.6931471805599453,5.0369526024136295,5.288267030694535,0.0,6.133398042996649,0,66,G,6,P,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0
Earth,True,PSO J318.5-22,0.0,False,0.0,0.0,0.0,0.0,0.0,1,67,G,10,S,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1
Earth,False,TRAPPIST-1e,18.0,False,0.6931471805599453,5.556828061699537,6.102558594613569,0.0,0.0,1,67,G,10,S,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1
Earth,False,55 Cancri e,21.0,False,7.5740450053721995,3.6375861597263857,0.0,0.0,3.2188758248682006,0,67,F,15,S,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1
Mars,False,TRAPPIST-1e,27.0,False,6.677083461247136,0.0,1.0986122886681098,5.537334267018537,0.0,0,68,E,4,S,0,0,1,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1
Earth,False,TRAPPIST-1e,42.0,False,6.78897174299217,0.0,2.302585092994046,1.9459101490553132,0.0,1,69,F,16,S,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1
Earth,False,TRAPPIST-1e,19.0,False,5.25227342804663,0.0,1.791759469228055,0.6931471805599453,6.588926477533519,0,70,F,13,P,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0
Earth,False,TRAPPIST-1e,17.0,False,2.833213344056216,7.680637427560936,0.0,0.0,3.970291913552122,0,71,F,14,P,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0
Earth,False,TRAPPIST-1e,14.0,False,0.0,0.6931471805599453,0.0,0.0,6.96979066990159,0,72,F,17,S,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1
Mars,False,PSO J318.5-22,37.0,False,3.8501476017100584,4.430816798843313,6.6052979209482015,0.0,2.5649493574615367,0,73,D,3,P,0,0,1,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0
Europa,False,TRAPPIST-1e,42.0,False,0.6931471805599453,9.035748861244139,0.0,0.0,6.2285110035911835,1,74,C,3,S,0,1,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1
Mars,False,TRAPPIST-1e,27.0,False,4.997212273764115,0.0,6.926577033222725,0.0,0.0,1,76,F,18,S,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1
Mars,False,TRAPPIST-1e,28.0,False,2.70805020110221,0.0,7.16703787691222,0.0,0.0,1,77,F,15,P,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0
Europa,False,TRAPPIST-1e,38.0,False,0.0,8.67265729404031,0.0,5.7745515455444085,9.175231194862615,0,78,C,4,S,0,1,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1
Earth,True,TRAPPIST-1e,13.0,False,0.0,0.0,0.0,0.0,0.0,0,81,G,13,S,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1
Mars,False,TRAPPIST-1e,42.0,False,8.91018077801329,0.0,0.0,0.0,0.0,0,82,F,16,P,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0
Mars,True,TRAPPIST-1e,2.0,False,0.0,0.0,0.0,0.0,0.0,1,82,F,16,P,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0
Mars,False,TRAPPIST-1e,8.0,False,0.0,0.0,0.0,0.0,0.0,1,82,F,16,P,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0
Earth,False,TRAPPIST-1e,24.0,False,6.535241271013659,0.0,0.0,0.0,2.8903717578961645,1,84,G,14,S,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1
Europa,True,TRAPPIST-1e,40.0,False,0.0,0.0,0.0,0.0,0.0,1,85,C,5,S,0,1,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1
Earth,False,TRAPPIST-1e,43.0,False,5.356586274672012,0.0,0.0,6.459904454377535,6.2422232654551655,0,86,F,17,P,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0
Mars,True,PSO J318.5-22,45.0,False,0.0,0.0,0.0,0.0,0.0,1,88,E,5,S,0,0,1,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1
Earth,True,TRAPPIST-1e,35.0,False,0.0,0.0,0.0,0.0,0.0,1,90,G,15,S,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1
Earth,True,TRAPPIST-1e,26.0,False,0.0,0.0,0.0,0.0,0.0,1,91,G,16,S,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1
Earth,False,TRAPPIST-1e,27.0,False,0.6931471805599453,6.548219102762372,3.4657359027997265,5.241747015059643,0.0,0,91,F,20,S,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1
Earth,False,TRAPPIST-1e,19.0,False,0.0,0.0,6.508769136971682,0.6931471805599453,3.5553480614894135,0,92,G,9,P,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0
Earth,True,TRAPPIST-1e,0.0,False,0.0,0.0,0.0,0.0,0.0,1,92,G,9,P,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0
Earth,True,TRAPPIST-1e,3.0,False,0.0,0.0,0.0,0.0,0.0,1,92,G,9,P,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0
Europa,False,TRAPPIST-1e,54.0,False,0.0,7.097548850614793,0.0,1.3862943611198906,6.45833828334479,0,97,A,2,S,0,1,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1
Earth,False,TRAPPIST-1e,26.0,False,0.0,6.75343791859778,1.791759469228055,3.4965075614664802,0.0,0,98,G,11,P,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0
Earth,False,TRAPPIST-1e,26.0,False,0.0,7.941651252930556,6.86484777797086,0.0,4.477336814478207,1,98,G,11,P,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0
Earth,False,PSO J318.5-22,23.0,False,5.7430031878094825,6.059123195581797,6.267200548541362,3.6375861597263857,0.0,0,99,F,19,P,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0
Earth,True,TRAPPIST-1e,2.0,False,0.0,0.0,0.0,0.0,0.0,1,99,G,12,P,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0
Mars,True,TRAPPIST-1e,31.0,False,0.0,0.0,0.0,0.0,0.0,1,101,F,21,P,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0
Earth,False,TRAPPIST-1e,18.0,False,0.0,0.0,0.0,6.7226297948554485,4.5217885770490405,0,102,F,23,S,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1
Earth,False,TRAPPIST-1e,24.0,False,0.0,5.419972597725881,0.0,0.0,2.8903717578961645,1,103,F,24,S,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1
Earth,True,55 Cancri e,9.0,False,0.0,0.0,0.0,0.0,0.0,1,103,G,18,S,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1
Earth,True,TRAPPIST-1e,6.0,False,0.0,0.0,0.0,0.0,0.0,0,103,G,18,S,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1
Earth,False,TRAPPIST-1e,27.0,False,0.0,0.0,6.3473892096560105,1.0986122886681098,4.882801922586371,0,105,F,21,P,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0
Mars,False,TRAPPIST-1e,21.0,False,7.463936604468925,1.791759469228055,2.8903717578961645,0.0,0.0,0,107,D,2,S,0,0,1,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1
Earth,True,TRAPPIST-1e,23.0,False,0.0,0.0,0.0,0.0,0.0,0,108,G,19,S,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1
Earth,False,TRAPPIST-1e,31.0,False,6.333279628139691,0.0,5.7899601708972535,0.0,0.0,0,108,G,19,S,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1
Earth,False,TRAPPIST-1e,0.0,False,0.0,0.0,0.0,0.0,0.0,1,108,G,19,S,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1
Europa,False,TRAPPIST-1e,32.0,False,0.0,6.018593214496234,1.9459101490553132,8.276394704863307,6.639875833826536,0,110,B,5,P,0,1,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0
Europa,False,TRAPPIST-1e,40.0,False,0.0,5.805134968916488,0.0,0.0,7.431299675155903,0,110,B,5,P,0,1,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0
Europa,False,TRAPPIST-1e,42.0,False,7.700747794511798,9.343033913701648,0.0,7.533158807455563,6.100318952020064,1,110,B,5,P,0,1,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0
Europa,True,TRAPPIST-1e,28.0,False,0.0,0.0,0.0,0.0,0.0,1,110,B,5,P,0,1,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0
Europa,True,TRAPPIST-1e,29.0,False,0.0,0.0,0.0,0.0,0.0,1,111,E,6,S,0,1,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1
Europa,False,55 Cancri e,48.0,True,0.0,7.839131648274333,4.477336814478207,2.8903717578961645,2.6390573296152584,1,112,B,1,S,0,1,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1
Earth,False,TRAPPIST-1e,64.0,False,0.0,0.0,6.690842277418564,0.0,0.0,1,113,F,23,P,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0
Earth,False,TRAPPIST-1e,27.0,False,4.418840607796598,5.062595033026967,6.063785208687608,5.476463551931511,0.6931471805599453,0,114,G,20,S,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1
Mars,True,TRAPPIST-1e,26.0,False,0.0,0.0,0.0,0.0,0.0,1,115,F,24,P,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0
Europa,False,TRAPPIST-1e,33.0,False,0.6931471805599453,7.707062655370473,0.0,2.5649493574615367,6.003887067106539,1,116,D,4,P,0,1,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0
Europa,False,TRAPPIST-1e,39.0,False,0.0,7.76004068088038,0.0,4.189654742026425,8.839131752546109,0,119,A,0,P,0,1,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0
Europa,True,TRAPPIST-1e,13.0,False,0.0,0.0,0.0,0.0,0.0,1,119,A,0,P,0,1,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0
Mars,True,TRAPPIST-1e,24.0,False,0.0,0.0,0.0,0.0,0.0,1,120,F,25,P,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0
Earth,False,TRAPPIST-1e,29.0,False,0.0,0.0,0.0,6.551080335043404,4.31748811353631,0,122,G,21,S,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1
Earth,False,TRAPPIST-1e,18.0,False,4.02535169073515,6.393590753950631,3.912023005428146,0.0,0.6931471805599453,0,123,F,27,P,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0
Mars,True,TRAPPIST-1e,67.0,False,0.0,0.0,0.0,0.0,0.0,1,126,F,27,S,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1
Mars,False,TRAPPIST-1e,35.0,False,6.553933404025811,0.0,5.6937321388027,0.0,3.258096538021482,0,127,E,7,S,0,0,1,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1
Mars,False,TRAPPIST-1e,61.0,True,7.763871287820222,5.814130531825066,2.302585092994046,5.75890177387728,1.0986122886681098,0,128,D,3,S,0,0,1,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1
Mars,False,TRAPPIST-1e,45.0,False,7.651595573857601,1.9459101490553132,0.0,0.0,0.0,0,128,E,8,S,0,0,1,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1
Earth,True,PSO J318.5-22,22.0,False,0.0,0.0,0.0,0.0,0.0,1,129,G,22,S,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1
Mars,True,TRAPPIST-1e,19.0,False,0.0,0.0,0.0,0.0,0.0,1,133,F,29,S,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1
Mars,False,TRAPPIST-1e,36.0,False,7.915348169263078,0.0,0.0,0.0,0.0,0,133,D,5,S,0,0,1,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1
Earth,False,TRAPPIST-1e,19.0,False,0.0,2.70805020110221,6.594413459749778,0.0,0.0,1,134,G,17,P,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0
Earth,False,PSO J318.5-22,47.0,False,4.584967478670572,6.037870919922137,4.844187086458591,3.258096538021482,4.02535169073515,0,136,G,23,S,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1
Earth,True,TRAPPIST-1e,13.0,False,0.0,0.0,0.0,0.0,0.0,1,138,G,18,P,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0
Earth,False,TRAPPIST-1e,34.0,False,0.0,3.1354942159291497,0.0,6.336825731146441,5.337538079701318,0,138,E,5,P,1,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0
Europa,True,55 Cancri e,35.0,False,0.0,0.0,0.0,0.0,0.0,1,139,C,6,S,0,1,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1
Earth,True,TRAPPIST-1e,24.0,False,0.0,0.0,0.0,0.0,0.0,1,140,G,19,P,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0
Earth,False,TRAPPIST-1e,26.0,False,6.089044875446846,0.0,0.0,0.0,6.137727054086234,0,140,F,29,P,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0
Mars,False,TRAPPIST-1e,31.0,False,6.764091911233509,0.0,4.584967478670572,0.0,0.0,0,141,F,30,P,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0
