Age,RoomService,FoodCourt,ShoppingMall,Spa,VRDeck,Group,Cabin_number,HomePlanet_Earth,HomePlanet_Europa,HomePlanet_Mars,CryoSleep_False,CryoSleep_True,Destination_55 Cancri e,Destination_PSO J318.5-22,Destination_TRAPPIST-1e,VIP_False,VIP_True,Cabin_deck_A,Cabin_deck_B,Cabin_deck_C,Cabin_deck_D,Cabin_deck_E,Cabin_deck_F,Cabin_deck_G,Cabin_deck_T,Cabin_side_P,Cabin_side_S
27.0,0.0,0.0,0.0,0.0,0.0,8673,285,0,1,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0
13.0,2.833213344056216,0.0,4.477336814478207,6.300785794663244,0.0,4145,852,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0
46.0,0.0,0.0,0.0,0.0,0.0,1767,65,0,1,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1
2.0,0.0,0.0,0.0,0.0,0.0,4006,660,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1
11.0,0.0,0.0,0.0,0.0,0.0,5090,821,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0
39.0,0.0,0.0,0.0,0.0,0.0,4950,800,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0
31.0,0.0,5.420534999272286,0.0,5.71042701737487,8.316544717929398,5512,67,0,1,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1
2.0,0.0,0.0,0.0,0.0,0.0,712,150,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0
25.0,0.0,0.0,0.0,0.0,0.0,771,112,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0
44.0,7.251344983372214,6.814542897259958,2.8903717578961645,7.2813856635702825,8.23827262463303,2336,30,0,1,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1
44.0,0.0,0.0,0.0,0.0,0.0,921,139,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1
43.0,0.0,6.18826412308259,0.0,0.0,7.81237820598861,7395,277,0,1,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1
43.0,0.0,0.0,0.0,0.0,0.0,1450,53,0,1,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1
25.0,5.834810737062605,6.411818267709897,1.0986122886681098,1.0986122886681098,2.833213344056216,8433,1729,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0
21.0,3.4965075614664802,0.0,6.9167150203536085,0.0,0.0,8264,1584,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1
15.0,0.0,0.0,0.0,0.0,0.0,939,135,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0
31.0,0.0,3.8501476017100584,0.0,5.3471075307174685,7.975564658495202,4427,141,0,1,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1
35.0,0.0,0.0,0.0,0.0,0.0,4482,732,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1
34.0,6.007438761720537,8.884887201837403,0.0,5.666426688112432,7.730174795246222,4371,158,0,1,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1
19.0,0.0,5.111987788356544,0.0,6.551080335043404,0.0,3260,615,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1
27.0,0.0,0.0,0.0,0.0,0.0,1133,64,0,0,1,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0
8.0,0.0,0.0,0.0,0.0,0.0,9227,1498,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0
2.0,0.0,0.0,0.0,0.0,0.0,82,16,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0
2.0,0.0,0.0,0.0,0.0,0.0,4663,765,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1
24.0,0.0,0.0,3.9889840465642745,6.481577129276431,0.0,6485,1053,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1
35.0,5.017279836814924,0.0,4.574710978503383,6.459904454377535,0.0,7193,1381,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1
33.0,7.161622002939187,1.0986122886681098,0.0,0.0,0.6931471805599453,6742,1287,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1
3.0,0.0,0.0,0.0,0.0,0.0,7356,1181,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0
32.0,0.0,0.0,2.0794415416798357,8.203577736937952,5.424950017481403,3337,125,0,1,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1
12.0,0.0,0.0,0.0,0.0,0.0,6452,1044,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0
18.0,2.70805020110221,6.480044561926653,2.4849066497880004,2.8903717578961645,5.433204095737869,3812,717,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1
26.0,2.1972245773362196,8.722417141427496,0.0,1.3862943611198906,6.626717749249025,1110,42,0,1,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1
7.0,0.0,0.0,0.0,0.0,0.0,2347,377,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0
19.0,3.58351893845611,1.0986122886681098,6.1779441140506,4.804021044733257,5.433204095737869,4673,950,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0
14.0,0.0,0.0,0.0,0.0,0.0,490,71,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1
17.0,0.0,5.948034989180646,5.998936561946683,0.0,2.0794415416798357,3240,216,1,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1
28.0,0.0,0.0,0.0,0.0,0.0,7436,1202,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0
55.0,5.802118375377063,4.74493212836325,0.0,1.0986122886681098,0.0,4850,792,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1
44.0,0.0,0.0,0.0,0.0,0.0,9195,1779,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1
13.0,6.78105762593618,0.0,0.0,0.0,0.0,2353,457,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1
30.0,0.0,8.008032846969307,0.0,6.926577033222725,0.0,777,5,0,1,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0
21.0,5.497232539259716,0.0,6.208590026096629,6.066108090103747,0.0,9101,1865,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0
35.5,0.0,0.0,0.0,0.0,0.0,3645,124,0,0,1,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0
26.0,4.727387818712341,6.161207321695077,0.0,4.532599493153256,0.0,870,126,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0
38.0,3.58351893845611,0.0,0.0,0.0,6.570882962339584,1493,285,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1
36.0,0.0,0.0,0.0,0.0,0.0,4840,915,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1
51.0,0.0,9.708445431332793,6.786716950605081,0.0,5.8971538676367405,4386,170,0,1,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1
18.0,6.620073206530356,0.0,4.31748811353631,0.0,0.0,5573,1154,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0
27.0,0.0,2.70805020110221,0.0,6.5998704992128365,5.805134968916488,4361,819,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1
22.0,0.0,0.0,0.0,0.0,0.0,3076,502,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0
25.0,5.497232539259716,5.327876168789581,5.3651101384303646,0.0,6.309918278226516,4559,854,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1
37.0,0.0,6.0867747269123065,0.0,8.070593539949519,1.9459101490553132,1308,94,0,1,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1
13.0,0.0,4.61512051684126,9.4136076932856,1.9459101490553132,4.394449154672439,6583,254,0,1,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1
25.0,0.0,0.0,0.0,0.0,0.0,7267,265,0,1,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1
32.0,0.0,0.0,0.0,0.0,0.0,2880,468,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0
23.0,4.727387818712341,7.077498053569231,4.969813299576001,1.0986122886681098,6.373319789577012,5963,1228,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0
15.0,0.0,0.0,0.0,0.0,0.0,5057,816,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0
6.0,0.0,0.0,0.0,0.0,0.0,1865,292,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1
7.0,0.0,0.0,0.0,0.0,0.0,4804,785,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1
27.0,0.0,6.406879986069314,0.0,0.0,0.0,7815,1496,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1
19.0,4.174387269895637,0.0,6.118097198041348,5.1647859739235145,1.9459101490553132,3283,619,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1
43.0,6.961296045910167,4.700480365792417,6.3578422665081,6.470799503782602,0.0,8222,257,0,0,1,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0
13.0,0.0,0.0,0.0,0.0,0.0,2138,344,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1
26.0,7.195937226475569,0.0,3.9318256327243257,0.0,0.0,7812,1495,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1
18.0,0.0,4.343805421853684,0.0,6.901737206656574,1.9459101490553132,7824,1624,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0
57.0,0.0,0.0,0.0,0.0,0.0,3608,122,0,1,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0
57.0,0.0,0.0,0.0,0.0,0.0,3081,118,0,1,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1
48.0,0.0,6.576469569048224,0.0,0.0,2.3978952727983707,8512,1637,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1
24.0,0.0,7.792348924113037,0.0,6.587550014824796,7.741099090035366,5927,201,0,1,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0
44.0,0.0,4.276666119016055,8.874727765766853,6.059123195581797,5.978885764901122,8876,287,0,1,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0
35.0,5.5134287461649825,6.07993319509559,6.131226489483141,0.6931471805599453,7.59337419312129,5748,53,0,1,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0
48.0,6.018593214496234,7.653969180478774,0.0,0.0,0.0,6354,1315,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0
36.0,4.430816798843313,7.079184394609668,0.0,7.6783263565068856,6.602587892189336,7290,227,0,1,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0
7.0,0.0,0.0,0.0,0.0,0.0,5097,823,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0
32.0,0.0,2.6390573296152584,0.0,7.67275789664251,5.768320995793772,8395,260,0,1,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0
27.0,3.4965075614664802,2.1972245773362196,1.791759469228055,6.3784261836515865,2.9444389791664403,8993,1844,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0
25.0,1.0986122886681098,1.3862943611198906,4.543294782270004,1.9459101490553132,6.293419278846481,6283,1206,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1
45.0,0.0,7.237059026124737,0.0,8.002359546252707,0.0,1555,18,0,1,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1
35.0,0.0,0.0,0.0,0.0,0.0,2116,339,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1
27.0,0.0,0.0,0.0,0.0,0.0,476,103,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0
41.0,0.0,0.0,0.0,0.0,0.0,2927,611,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0
19.0,2.3978952727983707,3.2188758248682006,0.0,0.0,6.338594078203183,7553,1444,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1
29.0,0.0,9.342946336524205,2.5649493574615367,6.679599185844383,5.998936561946683,4428,162,0,1,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1
25.0,0.0,8.43663368355782,0.0,7.857867559331803,7.560080465021827,6895,220,0,1,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0
14.0,0.0,0.0,0.0,0.0,0.0,3152,496,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1
39.0,0.0,0.0,0.0,6.742880635791903,0.6931471805599453,7633,1224,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0
18.0,0.0,0.0,0.0,0.0,0.0,4461,838,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1
28.0,2.70805020110221,0.0,7.16703787691222,0.0,0.0,77,15,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0
21.0,1.9459101490553132,4.897839799950911,6.222576268071369,0.0,1.0986122886681098,2038,404,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0
42.0,0.0,0.0,0.0,0.0,0.0,7850,514,0,0,1,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1
15.0,0.0,0.0,0.0,0.0,0.0,6780,251,0,1,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1
23.0,0.6931471805599453,3.295836866004329,7.554334823725748,5.765191102784844,0.0,8645,1776,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0
35.0,0.0,6.583409222158765,0.0,0.0,5.225746673713202,2349,379,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1
23.0,0.0,5.726847747587197,5.973809611869261,2.302585092994046,2.6390573296152584,5170,1056,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0
2.0,0.0,0.0,0.0,0.0,0.0,4465,54,0,1,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1
37.0,6.295266001439646,3.6635616461296463,6.570882962339584,5.75890177387728,0.0,7202,462,1,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0
69.0,0.0,0.0,0.0,0.0,0.0,2532,489,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1
24.0,5.429345628954441,6.2878585601617845,2.6390573296152584,0.0,0.0,2439,504,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0
49.0,4.442651256490317,1.3862943611198906,5.996452088619021,5.313205979041787,4.59511985013459,189,8,1,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0
55.0,0.0,7.390798521735676,5.075173815233827,5.289153282077714,0.0,7950,1287,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0
23.0,0.0,6.371611847231857,0.0,3.044522437723423,7.8119734296220225,305,7,0,1,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0
10.0,0.0,0.0,0.0,0.0,0.0,1304,82,1,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0
39.0,0.0,8.558910784768106,1.0986122886681098,4.77912349311153,4.127134385045092,1148,42,0,1,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0
0.0,0.0,0.0,0.0,0.0,0.0,1086,166,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0
54.0,0.0,0.0,0.0,0.0,0.0,4531,142,0,1,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0
27.0,6.723832440821209,0.0,0.0,6.7661917146603505,3.044522437723423,8133,254,0,0,1,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0
29.0,0.0,0.0,0.0,0.0,0.0,1455,62,0,1,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1
29.0,0.0,0.0,0.0,0.0,0.0,5044,826,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1
53.0,0.0,0.0,0.0,0.0,0.0,4662,148,0,1,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0
51.0,3.713572066704308,6.57507584059962,7.553810852008231,0.0,0.0,7250,1501,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0
45.0,4.204692619390966,8.695339376799712,0.0,0.0,6.439350371100098,7502,241,0,1,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0
3.0,0.0,0.0,0.0,0.0,0.0,3216,509,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1
45.0,0.0,0.0,0.0,0.0,6.39024066706535,7068,1350,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1
78.0,0.0,0.0,0.0,0.0,0.0,2545,410,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0
49.0,0.0,0.0,0.0,0.0,0.0,6030,981,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1
43.0,0.0,0.0,0.0,0.0,0.0,7377,1186,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0
29.0,0.0,0.0,0.0,0.0,0.0,4047,666,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1
1.0,0.0,0.0,0.0,0.0,0.0,3195,505,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1
29.0,0.0,0.0,0.0,0.0,0.0,3665,595,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1
20.0,0.0,4.584967478670572,6.587550014824796,3.295836866004329,4.653960350157523,6763,1097,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0
13.0,3.091042453358316,0.0,7.355641102974253,0.0,0.6931471805599453,4796,310,0,0,1,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1
21.0,0.6931471805599453,0.0,4.969813299576001,6.326149473155099,0.6931471805599453,5080,969,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1
15.0,0.0,3.713572066704308,0.0,0.0,6.733401891837359,5901,1221,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0
37.0,4.382026634673881,5.389071729816501,0.0,6.093569770045136,6.492239835020471,8122,302,0,1,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1
28.0,0.0,0.0,0.0,0.0,0.0,784,33,0,1,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1
22.0,0.0,0.0,6.091309882077698,0.0,6.049733455231958,7559,1569,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0
26.0,6.695798917058491,4.110873864173311,0.0,2.833213344056216,1.3862943611198906,3692,598,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0
30.0,0.0,0.0,0.0,0.0,0.0,39,1,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0
31.0,6.78105762593618,0.0,0.0,2.1972245773362196,0.0,2682,434,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0
19.0,0.0,0.0,0.0,0.0,0.0,8823,1710,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1
44.0,2.302585092994046,7.7458682297922685,0.0,6.452048954437226,0.6931471805599453,8098,269,0,1,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0
33.0,0.0,0.0,0.0,0.0,0.0,644,38,0,1,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0
41.0,6.729824070489475,0.0,0.0,5.289153282077714,3.912023005428146,8306,1351,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0
0.0,0.0,0.0,0.0,0.0,0.0,6662,1087,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1
15.0,0.0,0.0,6.775366090936392,1.3862943611198906,5.433204095737869,2624,542,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0
39.0,7.541683099882111,0.0,7.269616749608169,1.791759469228055,6.152732694704104,6341,191,0,0,1,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1
